"id","name","count"
3166,"Spielzeug",356
4728,"Siegel",356
7638,"Bild- und Schriftkarten",356
10004,"APS",356
1243,"Lehrer",355
8265,"Ofen",355
345,"Württembergische Kunstkammer; Schmuck, Accessoires, Bekleidung",353
3624,"Autorenbild",352
381,"Rad, Radsatz",350
1653,"Handschriften",350
2299,"Autograph",350
716,"Zuschauer",349
3538,"Abzeichen",349
9080,"Katalog",349
3012,"Uniformen",348
5405,"Gesangbuch",348
3501,"Schweiz",347
2710,"Reisefotografie",346
2427,"Briefsammlung",345
3912,"Bauschmuck",345
4878,"Weltkulturerbe",345
4013,"Kommunalfahrzeug",344
7360,"Schmuck",344
4548,"Straßenverkehr",343
4787,"Universitätsprogramm",343
346,"Württembergische Kunstkammer; Stein, Edelstein",342
1339,"Kanontafel",341
1550,"Wohnhäuser",341
70,"Erster Weltkrieg",340
4004,"Baufacharbeiter",340
10542,"Genealogie",340
282,"Preußen",339
2092,"Mord",339
1404,"Bürgermeister",338
3484,"Kabarett",337
4688,"Betonwerker",337
5058,"Kippfahrzeug",337
794,"Erfurt",336
2489,"Sessel | Polsterstühle",336
3945,"Auslegerkran",334
5478,"Württembergische Kunstkammer; Glas, Glasfluss, Email",333
4662,"Inschrifttafel",332
7175,"Außenpolitik",332
2246,"Familienzeitschrift",331
1918,"Ratgeber",330
8278,"Topographie",330
1656,"Vasenmalerei",329
2669,"Filmtheater",329
3202,"Hochschule",329
3943,"Fernsprechtechnik",329
197,"Bettungsmaschine",328
252,"Experimentelle Lyrik",328
1194,"Predella",328
2001,"Fruchtrechnung",328
2700,"Mittelmeer",328
10097,"Konzerte",328
5096,"Friedhofskapelle",326
2154,"Bergwerk",325
4911,"Couchtische | Klubtische",324
2178,"Vorauswahl-Portfolio-Aufsberg",323
7232,"Diebstahl",323
1583,"Deutsche Fotothek",322
978,"Randausläufer",320
5942,"Ruine",320
1270,"Gutshaus",319
2120,"Anhänger",319
749,"Baustellen | Bauplätze",318
1467,"Andere Sprachen",318
2010,"Politiker",318
2854,"Initialzierseite",318
4462,"Tympanonrelief",318
1384,"Berge",317
3342,"Metallurge für Formgebung",317
1461,"Englisch",316
5895,"Eisenbahn",316
6595,"Volkskunst",316
4506,"Jugendtreffen",314
9779,"Drehgestell",313
1236,"Politik &",312
2726,"Luftbild",312
5661,"Kriegsgefangene",312
1076,"Sofas",311
1386,"Baustoff",311
1738,"Reproduktionen / Druckerzeugnisse",311
2221,"Metallurge für Walzwerktechnik",311
4108,"Schmidt, Ludwig",310
7061,"Wiederaufbau",309
7790,"Offiziere",309
3842,"Universität <Humboldt-Universität>",308
7816,"Schalter (Elektrotechnik)",308
9052,"Winter",308
1638,"Ästhetik",307
1350,"Jahresrechnung",306
2382,"Islam",306
2748,"Portfolio-Eschen",306
4154,"Bahnanlage",306
5115,"Amphora",306
5484,"Württembergische Kunstkammer; Waffen, Werkzeug, Reit- und Jagdausrüstung",306
2321,"Facharbeiter für Glastechnik",305
349,"Württembergische Kunstkammer; Unedles Metall",304
