"id","value"
731,"Bücheranzeige"
732,"Baukosten"
733,"Kirchen"
734,"Kirchenuhren"
735,"Fremdenverkehr"
736,"Fremdenverkehrsstatistik"
737,"Statistik, Fremdenverkehr"
738,"Sakralraumskulptur"
739,"Bürste"
740,"Thermus thermophilus"
741,"Cytochromoxidase"
742,"Röntgenstrukturanalyse"
743,"Bildwerke / Bildende Kunst &gt; Zeichnung / Grafik"
744,"Farbholzschnitt"
745,"Palazzo"
746,"Partei: NPD: Landesparteitag 1970"
747,"Getreidedisposition"
748,"Dragonerregiment Kronprinz von Württemberg"
749,"Baustellen | Bauplätze"
750,"Koran"
751,"Übersetzung"
752,"Urdu"
753,"Geschichte 1837"
754,"Paar, Hermann"
755,"Aufriss"
756,"Sitzgruppen"
757,"Kopf"
758,"Portalskulptur"
759,"Untersuchungsausschuss Müllheim"
760,"Gemeinderechnung; Prüfung"
761,"Schloss"
762,"Strecken; Neckargemünd-Jagstfeld"
763,"Wiegen und Rechnen"
764,"Handwerk / Industrie / Handel"
765,"Handel"
766,"Tischkasse (Buchungskasse)"
767,"Kaufmann / Ladeneinrichtung"
768,"Epikedeion"
769,"Epik / Epos / Verserzählung / Roman / Erzählung"
770,"Metallgießereien"
771,"NE-Metalle"
772,"Profanarchitektur"
773,"Schulwandbild Handarbeit"
774,"Türkisch"
775,"Märchen"
776,"Anthologie"
777,"Zeitungen; \"Staatsanzeiger für Württemberg\""
778,"Altarbild"
779,"Bibliographie"
780,"Philosophie"
781,"Formale Sprache"
782,"Konditionalsatz"
783,"Logischer Schluss"
784,"Mögliche-Welten-Semantik"
785,"Bank: BW Bank"
786,"Flugverkehr: Flughafen Baden-Airport"
787,"Kriminalität: Wirtschaftskriminalität"
788,"Skandal: FlowTex-Affäre"
789,"Strafverfolgung"
790,"Wirtschaftsunternehmen: Baden-Airpark GmbH"
791,"Wirtschaftsunternehmen: FlowTex"
792,"Elektrifizierung; Strecke 4241 Baden-Baden-Oos"
793,"Mittelfranken"
794,"Erfurt"
795,"Festung"
796,"Füllungsbrett"
797,"4. Kirchengestühlsteile / Friese / Füllungen"
798,"Innendekoration"
799,"Götz, Ernst"
800,"Flüchtlinge"
801,"Romanik"
802,"Geschichte 950-1250"
803,"Gotik"
804,"Geschichte 1150-1520"
805,"fortlaufendes Sammelwerk"
806,"Zoologica"
807,"Einberufungen"
808,"Ernteurlaub"
809,"Ersatzreserve"
810,"Kriegsreserve"
811,"Kriegsstand, Komplettierung"
812,"Landwehr"
813,"Mobilmachung"
814,"Mosaikkunst"
815,"Wandmosaik"
816,"Ziege"
817,"Festbettreaktor"
818,"Kugelschüttung"
819,"Durchströmung"
820,"Numerisches Modell"
821,"Versdichtung"
822,"Berner, Johann"
823,"Berner, Judith"
824,"Sabon, Judith -) Berner, Judith"
825,"Egenolff, Judith -) Berner, Judith"
826,"Beton"
827,"Miniatur (halbseitig)"
828,"sonstiger Text"
829,"Wohn- und Handwerkerhaus"
830,"Deutsche Literatur"
831,"Theater"
832,"Hess, August (1821-1878)"
833,"Herchenröder, M."
834,"Junge Pioniere"
835,"Badisch-Pfälzischer Krieg"
836,"Ortsdurchfahrt"
837,"Fischfangstatistik Bodensee"
838,"Fischteich"
839,"Fischzucht"
840,"Forellenzuchtanstalten"
841,"Landesfischereisachverständiger"
842,"Gruppe (4-figurig)"
843,"Bündnis 90/Die Grünen"
844,"Landtagswahl 2006"
845,"Mikroprozessor"
846,"Radio"
847,"Escherichia coli"
848,"Genanalyse"
849,"Ständehaus"
850,"Stadttor"
851,"Lied"
852,"Erwachsene"
853,"Hofmannsthal, Hugo von (1874-1929)"
854,"Brief"
855,"Aus Nachlass Richard Dehmel"
856,"Briefkopierbücher Richard Dehmel"
857,"830 - Deutsche und verwandte Literaturen"
858,"Handschrift"
859,"Mehrbändiges Werk"
860,"Feldforschungsaufnahmen des Deutschen Volksliedarchivs, Mag286"
861,"Gartenskulptur"
862,"Tower"
863,"barockisierend"
864,"Markt"
865,"Pumpe"
866,"Zernsdorf"
867,"Musik-Katalog"
868,"Verbinden"
869,"Ferdinand Maria (Bayern, Kurfürst)"
870,"Wanddekoration"
871,"Gewölbebild"
872,"Krug"
873,"Längsschnitt"
874,"Staatsstraße Nr. 86 Tübingen - Horb - Rottweil"
875,"Staatsstraße Nr. 87 Eyach - Haigerloch - Steinhofen"
876,"Staatsstraße Nr. 88 Horb - Haigerloch"
877,"Staatsstraße Nr. 94 Horb - Aach"
878,"Erste Stiftungsklasse"
879,"Hematite"
880,"Hämatit"
881,"Haematit"
882,"Fotografie (Digitalisat)"
883,"Buchillustration"
884,"Portfolio-Pöppelmann-Pillnitz"
885,"Universität"
886,"Bremse"
887,"Buch von den probierten Künsten"
888,"Sonogashira-Hagihara-Reaktion"
889,"Katalysator"
890,"Palladium"
891,"Phosphine"
892,"Flüssig-Flüssig-System"
893,"Auswanderung; aus Württemberg"
894,"Staatstheater, Badisches; Schauspieler"
895,"Bader, Georg"
896,"Schale"
897,"Ich weiß nicht, was soll das bedeuten"
898,"Landesparteitag Offenburg"
899,"Parteien; SPD, Landesparteitag"
900,"Korrespondenz"
901,"letter"
902,"autograph"
903,"Reliquienschrein"
904,"Flakon"
905,"Rückseite"
906,"Hänschen klein ging allein in d. Erbacher Schul hinein"
907,"Stoßbutterfaß"
908,"Hauswirtschaft"
909,"Gutshof"
910,"Fabrik"
911,"Batterieturm"
912,"Benckiser-Knapsack GmbH Ludwigshafen; Gleisanschluss"
913,"Decke"
914,"Kindergarten"
915,"Subrogation - France"
916,"Époux - France"
917,"Kaiser | Kaiserinnen"
918,"Eröffnung: Sendestelle Heidelberg"
919,"Öffentliche Veranstaltung"
920,"SDR: Geschichte: Radio Stuttgart"
921,"Staatliche Hochschule für Handwerk und Baukunst Weimar 1925-1930"
922,"Architekturphotographie"
923,"Turm und Langhaus von Norden"
924,"Operette"
925,"Galerie Neue Meister"
926,"Grabplatte"
927,"Tür"
928,"Flüchtlingslager Rastatt (Schloss)"
929,"Schloss Rastatt (Flüchtlingslager)"
930,"Elektromotor"
931,"DDR"
932,"politische Veranstaltungen"
933,"Cebionzucker"
934,"Fürsorge für Säuglinge"
935,"Säuglingsfürsorge"
936,"Innenstadt"
937,"Schild"
938,"Lord's Supper"
939,"Milchkuhhaltung"
940,"Intensivtierhaltung"
941,"Stoffwechsel"
942,"Blutuntersuchung"
